Date,Dividends
2016-05-23 00:00:00-04:00,0.516
2017-04-24 00:00:00-04:00,0.681
2018-04-23 00:00:00-04:00,0.872
2019-04-23 00:00:00-04:00,1.159
2020-04-20 00:00:00-04:00,1.229
2021-04-19 00:00:00-04:00,1.039
2022-04-19 00:00:00-04:00,1.469
2023-04-24 00:00:00-04:00,1.989
2024-04-22 00:00:00-04:00,2.604
2025-04-22 00:00:00-04:00,3.438
